level,workout,max_pullups,reps
3,1,6,"2,3,2,2,3"
3,2,6,"2,3,2,2,4"
3,3,7,"3,4,2,2,4"
3,4,7,"3,4,3,3,4"
3,5,8,"3,4,3,3,5"
3,6,8,"4,5,4,4,6"
4,1,9,"3,5,3,3,5"
4,2,9,"4,6,4,4,6"
4,3,10,"5,7,5,5,6"
4,4,10,"5,8,5,5,8"
4,5,11,"6,9,6,6,8"
4,6,11,"6,9,6,6,10"
5,1,12,"6,8,6,6,8"
5,2,12,"6,9,6,6,9"
5,3,13,"7,10,6,6,9"
5,4,13,"7,10,7,7,10"
5,5,14,"8,11,8,8,10"
5,6,15,"9,11,9,9,11"
6,1,16,"8,11,8,8,10"
6,2,16,"9,12,9,9,11"
6,3,17,"9,13,9,9,12"
6,4,17,"10,14,10,10,13"
6,5,18,"11,15,10,10,13"
6,6,18,"11,15,11,11,13"
6,7,19,"12,16,11,11,15"
6,8,19,"12,16,12,12,16"
6,9,19,"13,17,13,13,16"
7,1,21,"12,16,12,12,15"
7,2,21,"13,16,12,12,16"
7,3,22,"13,17,12,12,16"
7,4,22,"14,19,13,13,18"
7,5,23,"14,19,14,14,19"
7,6,23,"15,20,14,14,20"
7,7,24,"16,20,16,16,20"
7,8,24,"16,21,16,16,20"
7,9,24,"17,22,16,16,21"
8,1,26,"16,18,15,15,17"
8,2,26,"16,20,16,16,19"
8,3,27,"17,21,16,16,20"
8,4,27,"17,22,17,17,22"
8,5,28,"18,23,18,18,22"
8,6,28,"19,25,18,18,24"
8,7,28,"19,26,18,18,25"
8,8,28,"19,27,19,19,26"
8,9,28,"20,28,20,20,28"
9,1,31,"20,25,19,19,23"
9,2,31,"22,25,21,21,25"
9,3,32,"23,26,23,23,25"
9,4,32,"24,27,24,24,26"
9,5,33,"25,28,24,24,27"
9,6,33,"25,29,25,25,28"
9,7,33,"26,29,25,25,29"
9,8,33,"26,30,26,26,30"
9,9,33,"26,32,26,26,32"
10,1,36,"23,27,22,22,26"
10,2,36,"24,28,24,24,28"
10,3,37,"25,29,24,24,29"
10,4,37,"26,30,25,25,30"
10,5,37,"26,31,25,25,31"
10,6,38,"26,31,26,26,31"
10,7,38,"27,31,26,26,32"
10,8,38,"28,32,26,26,32"
10,9,38,"28,34,27,27,34"
11,1,42,"25,28,24,24,26"
11,2,42,"25,29,25,25,28"
11,3,44,"25,30,25,25,29"
11,4,45,"26,31,25,25,31"
11,5,46,"26,32,26,26,32"
11,6,47,"27,32,26,26,32"
11,7,47,"27,34,26,26,33"
11,8,47,"28,34,26,26,34"
11,9,47,"29,35,27,27,35"
